name,characters_prompt,clothes_prompt
惑姬原皮,"waku default,1girl,horns,brown hair,jewelry,yellow eyes,bangs,hair ornament,earrings,long hair,large breasts,dragon tail,","pantyhose,blue sweater,sweater,black skirt,turtleneck,turtleneck sweater,armband,long sleeves,ribbed sweater,black footwear,braid,black pantyhose,"
惑姬旗袍,"waku chic,brown hair,horns,cleavage,brown eyes,dragon tail,dragon horns,dragon girl,","blue dress,china dress,side slit,see-through,chinese clothes,black footwear,hair ornament,"
惑姬泳装,"waku swimsuit,long hair,dragon tail,large breasts,choker,eyewear on head,orange eyes,dragon horns,nail polish,red choker,very long hair,red nails,dragon girl,toenail polish,black choker,hair ribbon,halterneck,","sandals,swimsuit,cleavage,brown hair,black bikini,see-through,navel,shirt,stomach,bare shoulders,white shirt,sunglasses,ribbon,shoulder cutout,thigh strap,crop top,black footwear,short sleeves,bell,string bikini,red ribbon,clothing cutout,midriff,"
茉里原皮,"mari_default, blonde hair, short hair, bangs, pointy ears, red eyes, ahoge, hair ornament, hair between eyes,demon tail,demon wings,low wings,red wings,red nails,nail polish,medium breasts,fang,fang out,","jacket,black jacket,open jacket,long sleeves,sleeves past wrists,shirt,white shirt,collared shirt,necktie,off shoulder,open clothes,skirt,black skirt,pleated skirt,thighhighs,black thighhighs,zettai ryouiki,shoes,loafers,black footwear,"
茉里2.0,"mari_2.0, blonde hair, red eyes, ahoge, pointy ears, bangs, hair ornament, hair between eyes, twintails, low twintails, short twintails, wings, demon wings, tail","dress,brown dress,frilled dress,capelet,frilled capelet,puffy sleeves,puffy long sleeves,long sleeves,bow,red bow,hair bow,socks,white socks,frilled socks,shoes,red footwear,cleavage,breasts,frills,"
茉里冬装,"mari_winter, blonde hair, red eyes, glasses, bangs, hair bun, double bun, x hair ornament, hair ornament, wings, demon wings, tail, demon tail, red headwear, earrings, necklace, jewelry, red nails,","thighhighs,black thighhighs,thighhighs under boots,boots,knee boots,black footwear,skirt,red skirt,pleated skirt,jacket,black jacket,sweater,grey sweater,ribbed sweater,off shoulder,scarf,red scarf,hat,beret,belt,breasts,medium breasts,"
茉里地雷,"mari_jarai,blonde hair,multicolored hair,red eyes,long hair,bangs,twintails,ahoge,wings,demon wings,tail,demon tail,hair ornament,ribbon,hair ribbon,red ribbon,hairclip,collar,off_shoulder, demon girl,","skirt,black skirt,pleated skirt,thighhighs,black thighhighs,torn thighhighs,boots,knee boots,shoulder:1.4,black footwear,jacket,pink jacket,off shoulder,belt,torn clothes,chain,breasts,medium breasts,sleeves past wrists"
七海原皮,"nana7mi shark, brown hair, open mouth, brown eyes, smile, tail, teeth, short hair, shark tail,","nana7mi shark, headphones around neck, plaid skirt, sneakers, black socks, badge, bangs, shark hood, smiley face, button badge, pleated skirt, hood up, long sleeves, animal hood, red skirt, white footwear, grey hoodie, plaid, white footwear,"
七海唱诗班,"nana7mi choir, brown hair, glasses, smile, brown eyes, low twintails, blush, bangs, hat, twintails,","nana7mi choir, beret, black footwear, dress, round eyewear, shoes, socks, black dress, white socks, long sleeves, black headwear, puffy long sleeves, loafers, ribbon, long_skirt, "
七海夏装,"nana7mi summer, brown hair, brown eyes, bangs, ponytail, hair ornament, hair bow, red bow, hairclip, ","nana7mi choir, headphones around neck, plaid skirt, white shirt, white footwear, shoes, skirt, short sleeves, red skirt, black thighhighs, school uniform, pleated skirt, sneakers, collared shirt, bowtie,"
